justice_name,justice_first_name_first,justice_id,justice_no
"White, Edward Douglass",Edward Douglass White,j__edward_d_white,56
"Lamar, Joseph Rucker",Joseph Rucker Lamar,j__joseph_r_lamar,65
"Pitney, Mahlon",Mahlon Pitney,j__mahlon_pitney,66
"McReynolds, James Clark",James Clark McReynolds,j__james_c_mcreynolds,67
"Brandeis, Louis Dembitz",Louis Dembitz Brandeis,j__louis_d_brandeis,68
"Clarke, John Hessin",John Hessin Clarke,j__john_h_clarke,69
"Taft, William Howard",William Howard Taft,j__william_h_taft,70
"Sutherland, George",George Sutherland,j__george_sutherland,71
"Butler, Pierce",Pierce Butler,j__pierce_butler,72
"Stone, Harlan Fiske",Harlan Fiske Stone,j__harlan_f_stone,74
"Sanford, Edward Terry",Edward Terry Sanford,j__edward_t_sanford,73
"Hughes, Charles Evans",Charles Evans Hughes,j__charles_e_hughes,75
"Roberts, Owen Josephus",Owen Josephus Roberts,j__owen_j_roberts,76
"Cardozo, Benjamin Nathan",Benjamin Nathan Cardozo,j__benjamin_n_cardozo,77
"Black, Hugo Lafayette",Hugo Lafayette Black,j__hugo_l_black,78
"Reed, Stanley Forman",Stanley Forman Reed,j__stanley_f_reed,79
"Frankfurter, Felix",Felix Frankfurter,j__felix_frankfurter,80
"Douglas, William Orville",William Orville Douglas,j__william_o_douglas,81
"Murphy, Frank",Frank Murphy,j__frank_murphy,82
"Byrnes, James Francis",James Francis Byrnes,j__james_f_byrnes,83
"Jackson, Robert Houghwout",Robert Houghwout Jackson,j__robert_h_jackson,84
"Rutledge, Wiley Blount",Wiley Blount Rutledge,j__wiley_b_rutledge,85
"Vinson, Fred Moore",Fred Moore Vinson,j__fred_m_vinson,86
"Burton, Harold Hitz",Harold Hitz Burton,j__harold_h_burton,87
"Clark, Tom Campbell",Tom Campbell Clark,j__tom_c_clark,88
"Minton, Sherman",Sherman Minton,j__sherman_minton,89
"Warren, Earl",Earl Warren,j__earl_warren,90
"Harlan, John Marshall",John Marshall Harlan,j__john_m_harlan,91
"Brennan, William J., Jr.","William J. Brennan, Jr.",j__william_j_brennan_jr,92
"Whittaker, Charles Evans",Charles Evans Whittaker,j__charles_e_whittaker,93
"Stewart, Potter",Potter Stewart,j__p_stewart,94
"White, Byron Raymond",Byron Raymond White,j__byron_r_white,95
"Goldberg, Arthur Joseph",Arthur Joseph Goldberg,j__arthur_j_goldberg,96
"Fortas, Abe",Abe Fortas,j__abe_fortas,97
"Marshall, Thurgood",Thurgood Marshall,j__thurgood_marshall,98
"Burger, Warren Earl",Warren Earl Burger,j__warren_e_burger,99
"Blackmun, Harry A.",Harry A. Blackmun,j__harry_a_blackmun,100
"Powell, Lewis F., Jr.","Lewis F. Powell, Jr.",j__lewis_f_powell_jr,101
"Rehnquist, William H.",William H. Rehnquist,j__william_h_rehnquist,102
"Stevens, John Paul",John Paul Stevens,j__john_p_stevens,103
"O'Connor, Sandra Day",Sandra Day O'Connor,j__sandra_day_o'connor,104
"Scalia, Antonin",Antonin Scalia,j__antonin_scalia,105
"Kennedy, Anthony M.",Anthony M. Kennedy,j__anthony_m_kennedy,106
"Souter, David H.",David H. Souter,j__david_h_souter,107
"Thomas, Clarence",Clarence Thomas,j__clarence_thomas,108
"Ginsburg, Ruth Bader",Ruth Bader Ginsburg,j__ruth_bader_ginsburg,109
"Breyer, Stephen G.",Stephen G. Breyer,j__stephen_g_breyer,110
"Roberts, John G., Jr.","John G. Roberts, Jr.",j__john_g_roberts_jr,111
"Alito, Samuel A., Jr.","Samuel A. Alito, Jr.",j__samuel_a_alito_jr,112
"Sotomayor, Sonia",Sonia Sotomayor,j__sonia_sotomayor,113
"Kagan, Elena",Elena Kagan,j__elena_kagan,114
"Gorsuch, Neil",Neil Gorsuch,j__neil_gorsuch,115
"Kavanaugh, Brett M.",Brett M. Kavanaugh,j__brett_m_kavanaugh,116
"Barrett, Amy Coney",Amy Coney Barrett,j__amy_coney_barrett,117
"Jackson, Ketanji Brown",Ketanji Brown Jackson,j__ketanji_brown_jackson,118
